"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.471795741E0,-1.611200142E1,2.946558380E1,4.213105679E0
1.487797303E0,1.498128653E0,3.195001793E1,6.290477753E0
1.503797303E0,5.693928719E0,2.299679565E1,7.245802402E0
1.519795741E0,1.628919095E-1,2.310574150E1,7.641429901E0
1.535797303E0,-7.787859440E-2,2.561299896E1,1.016909409E1
1.551797303E0,-4.806398392E0,2.669205475E1,6.092113495E0
1.567795741E0,-1.023684978E1,2.257014847E1,5.210625648E0
1.583798866E0,-1.168215370E1,1.761532974E1,5.424274445E0
1.599795741E0,-8.595768929E0,1.449369240E1,1.742605329E0
1.615795741E0,-4.925936222E0,1.181738663E1,-1.334910989E-1
1.631795741E0,-4.334922314E0,1.111084843E1,-3.019663095E-1
1.647795741E0,-5.562017918E0,1.147351265E1,9.043857455E-1
1.663795741E0,-4.757230759E0,1.088556385E1,1.321522713E0
1.679795741E0,1.525681168E-1,9.018211365E0,-1.203402400E0
1.695795741E0,5.321946144E0,4.288656712E0,-2.691561460E0
1.711795741E0,7.449347496E0,-1.789254069E0,-1.808110714E0
1.727795741E0,6.152112007E0,-5.443342209E0,-9.469642043E-1
1.743795741E0,3.733824730E0,-4.399537086E0,1.035568833E0
1.759795741E0,2.557725668E0,-8.207993507E-1,2.915381193E0
1.775795741E0,2.800124168E0,1.435189843E0,2.913245440E0
1.791795741E0,2.382393599E0,1.028319240E0,2.831737280E0
1.807795741E0,6.675417423E-1,-4.003967345E-1,1.914796352E0
1.823795741E0,9.748231769E-1,-2.327432156E0,1.812085032E0
1.839795741E0,3.010995865E0,-1.716154218E0,4.417110682E-1
1.855795741E0,6.815095425E0,4.488093853E0,-7.808449864E-1
1.871795741E0,1.633675957E1,1.491153812E1,-2.490161359E-1
1.887795741E0,3.154819489E1,2.607643700E1,1.184737206E0
1.903795741E0,3.033442879E1,2.455916595E1,3.536915779E0
1.919795741E0,2.730135918E1,1.847062492E1,4.707862377E0
1.935795741E0,3.295788193E1,1.742064285E1,3.950959444E0
1.951795741E0,3.280308914E1,1.529073238E1,5.117577553E0
1.967795741E0,2.690366364E1,9.886453629E0,2.971424580E0
1.983795741E0,2.127890778E1,3.532912731E0,3.930589676E0
1.999795741E0,1.589149380E1,-9.005550742E-1,3.988088846E0
2.015795741E0,1.291053104E1,-2.340514183E0,2.597153425E0
2.031795741E0,9.769989967E0,-1.273322582E0,1.385218024E0
2.047795741E0,5.559652328E0,2.372558117E0,4.830541089E-2
2.063795741E0,2.242610455E0,4.333859444E0,1.870206714E0
2.079795741E0,-4.260817170E-1,5.319897175E0,-4.134403467E-1
2.095795741E0,-2.820292950E0,6.032210350E0,-3.075476646E0
