"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.296237929E0,4.697423577E-1,2.600352049E0,-1.843535304E-1
1.312237929E0,6.478518248E-1,2.506748199E0,-3.072239757E-1
1.328237929E0,7.518271804E-1,2.151554108E0,-2.517934144E-1
1.344237929E0,1.108802676E0,2.055680752E0,-2.707937956E-1
1.360237929E0,1.538360834E0,2.452562809E0,-7.788625360E-1
1.376237929E0,2.096056700E0,2.880205631E0,-9.518579841E-1
1.392237929E0,1.987024665E0,2.692461729E0,-6.332663298E-1
1.408237929E0,1.229345918E0,2.746043921E0,-1.104598522E0
1.424237929E0,6.755862236E-1,3.182066441E0,-1.543704629E0
1.440237929E0,-7.558494806E-1,1.994868040E0,-2.011311293E0
1.456237929E0,-2.835893631E0,-1.191230178E0,-1.097559571E0
1.472237929E0,-5.484311581E0,-6.377588272E0,3.308288813E0
1.488237929E0,-2.372730494E0,-1.200508308E1,7.144470215E0
1.504237929E0,2.666968346E0,-1.300361824E1,9.417716980E0
1.520237929E0,7.168603897E0,-1.215904903E1,1.435159206E1
1.536237929E0,1.071734715E1,-1.534120178E1,1.800791168E1
1.552237929E0,1.124950123E1,-1.990400314E1,1.915280914E1
1.568237929E0,8.451436996E0,-1.925876808E1,1.876771736E1
1.584237929E0,4.852587223E0,-1.629140282E1,1.808882523E1
1.600237929E0,6.041145921E-1,-1.657883263E1,1.605360985E1
1.616237929E0,-4.219234467E0,-1.676720619E1,1.479997826E1
1.632237929E0,-5.489703655E0,-1.520994282E1,1.321823406E1
1.648237929E0,-3.809376001E0,-1.413542366E1,1.159074211E1
1.664237929E0,-4.446606934E-1,-1.167926121E1,9.727027893E0
1.680237929E0,1.565137625E0,-8.669864655E0,7.344357491E0
1.696237929E0,1.785068870E0,-6.051153183E0,5.543142319E0
1.712237929E0,1.779504776E0,-3.369254589E0,3.541158438E0
1.728237929E0,1.635986686E0,-4.842991233E-1,1.437402129E0
1.744239491E0,1.296077132E0,2.224174976E0,2.246718854E-2
1.760237929E0,1.114031672E0,3.663482904E0,-5.266956091E-1
1.776239491E0,1.390830040E0,3.440333843E0,-1.142733335E0
1.792237929E0,1.683315277E0,2.027161121E0,-1.601519823E0
1.808237929E0,1.043776155E0,7.777037621E-1,-1.239047289E0
1.824237929E0,-2.545706928E-1,6.428623199E-1,-1.253019810E0
1.840237929E0,-1.566669822E0,1.558864713E0,-1.640813470E0
1.856237929E0,-2.855535746E0,2.643064737E0,-1.787108779E0
1.872237929E0,-3.503473520E0,3.521095037E0,-1.973463893E0
1.888237929E0,-2.956829548E0,4.012806416E0,-1.975628138E0
1.904237929E0,-1.520796895E0,4.101583481E0,-1.622148275E0
1.920237929E0,3.677685261E-1,3.692414522E0,-6.129060388E-1
1.936237929E0,1.824544549E0,3.413279295E0,-1.396872997E-1
1.952237929E0,2.414245844E0,3.540104866E0,1.255232096E-1
1.968237929E0,2.834974051E0,2.455780506E0,1.465529203E0
1.984237929E0,3.364408970E0,8.700146079E-1,2.416448832E0
2.000237929E0,4.739169121E0,4.189948738E-1,4.224367619E0
2.016237929E0,6.901928425E0,2.243386269E0,7.013909817E0
2.032237929E0,1.212876797E1,7.156105995E0,9.695127487E0
2.048237929E0,1.581493759E1,9.048531532E0,1.216518784E1
2.064237929E0,1.907122421E1,3.721537590E0,1.151070881E1
2.080237929E0,1.703921700E1,1.945135593E0,1.422500610E1
2.096237929E0,1.702021599E1,6.879700184E0,1.693274307E1
2.112237929E0,2.236382675E1,9.433058739E0,1.794362259E1
